n.mites dry.wt.fungus leaf.dmg
30 4.5655640691375 15.9210342874092
14 10.1440025775002 23.6812498125223
50 1.55468489123449 13.6611678193283
13 9.31383051919239 38.5117874157938
2 20.0477825720765 35.1057702562469
41 3.66201131723942 18.8734546834738
49 0 28.3165327517525
42 5.24304745965162 21.6334422462106
36 4.46859032322372 11.7371415257635
13 8.36496633076855 22.0575668161575
24 1.61233225264519 20.6554850060374
25 1.96256895351672 15.118376433235
26 3.63702272327762 16.1586972677402
4 17.6603421699175 37.3170583989853
50 0 15.6334765299745
26 1.22001817043453 27.8975868366291
27 2.79307257633372 18.290345821895
8 11.6125016621621 38.8230988000875
28 0 19.415278809554
34 0.886415820084549 15.4455028795754
7 16.1182198143419 26.8351937198445
25 2.23268815569853 14.4779421951103
6 16.6855134396036 34.9306256434757
41 0 15.3300810293307
8 13.0711866700271 42.4010520817057
18 6.96200837493997 40.7983645417336
35 2.12255828996388 28.8046490188358
13 9.04771943726739 26.7347504618717
16 5.6695204947191 10.6416369237033
42 0 12.2785409514978
38 0 15.6244505615131
11 10.6048659862398 35.7619034092077
14 6.26204563720638 30.5045596714788
31 1.11246575240356 21.3476180592802
41 0.42852203578291 5.8330104014998
44 4.42770988966172 27.1462951649599
6 14.1656849917626 31.7060584734771
8 13.6530837456459 35.3379361450331
40 1.17497679858658 17.1668257582373
9 10.245093130739 32.3402977378282
22 4.15850542332907 20.9946324724437
26 6.01235702181126 11.7449741474361
6 16.372592901312 43.0771018152508
26 3.20572114895044 22.1901955869783
31 1.24858697512565 14.8884603882284
37 0 15.8270115773268
24 5.92784848008711 24.2372583897012
33 0 16.547136279927
28 4.14135763123599 32.2838238455728
4 21.9719330652772 44.2273536388538
7 11.3924402742768 32.1258740711801
11 11.773141462789 39.6610851593882
12 9.04792717057287 35.0463652024404
17 3.27223110554792 27.5979653204296
32 0 10.9577239925831
26 0 29.0173791120498
24 2.60336100891815 19.1116115089967
37 0 28.067962912948
20 6.42324649581804 14.5362262919303
14 12.3572127466273 32.4469829497579
40 0 23.7494019967845
46 2.20605206583104 13.0817775816039
25 4.92146656291714 16.6212304105598
30 2.93235399013555 12.5355246609415
15 5.51310208125104 15.3507499583803
29 2.21793442684772 15.044991465324
5 16.1972104805505 39.9943488834836
42 1.99436054005942 3.69263127063815
7 13.5353490840127 35.4333517512238
21 6.61329617435649 32.9153399690151
21 3.91018768545122 34.7372808873148
38 3.30129516851362 28.7300451813232
30 0.169594818903181 20.5348560930362
47 0 2.91288720619969
16 13.4330123812147 29.5956703776531
49 0 12.5356748039217
48 1.13379521670868 21.5119806226904
33 3.05717108697735 18.5403401837419
3 18.6981352752464 32.3668489889237
12 10.606046238005 41.6395146898658
4 18.8916549816124 47.8280560168292
50 0.0271299569349677 16.6999938471461
24 3.79576012030938 28.8408244407138
21 4.59121489350832 12.0562808402668
24 7.92207785129112 30.7166510763362
31 0.610908447259242 12.194885191969
45 0 19.786218652955
24 3.74075085160091 19.8112975096208
22 4.92208309446254 26.3216413234677
34 2.51991581848044 27.8765054512884
39 0.18719854507011 15.3131085953164
47 0 22.1229104586646
29 4.98320999228802 13.6574557431674
11 9.67027201613242 23.4871497395333
30 0.536923106928565 26.3862163294172
45 0.210533923300121 17.9364633037877
29 2.06248785141193 3.5219232489406
34 3.86670944008735 10.8651310515457
13 9.0058416333639 26.2027111775856
28 4.16957017985036 26.8978540821319
31 1.09499660546038 15.819812457638
6 15.8984754143167 41.627177884188
2 20.6542229011736 50.6289497061578
22 4.49028865192341 32.9837879147333
14 6.3662681496209 24.304892542394
20 2.42580988321044 18.0322604932283
36 5.39779584034928 10.2842526624931
7 15.4816442435652 37.3695950996061
50 0 10.9970495947311
9 10.9464745656385 23.5069973122652
49 0 13.7406563826672
41 5.33832711794684 29.5782601743312
43 3.42644308606354 5.84778089966888
33 1.25374162551695 13.7642832652857
9 13.2551945174635 34.3737333095278
21 3.83066950514753 14.1104843168219
11 9.41707900280838 30.5212312014263
19 3.89059149810488 23.326837541657
45 0 14.7687468850681
16 10.2527474460032 12.0925590680843
45 0.575036811011433 33.8052585564825
34 1.88535933351524 16.2024082646439
39 1.59130406969051 21.7861786686804
45 3.14804481815299 21.32362818267
50 0 22.1727126437285
29 0.471825339324964 21.3841715996736
14 11.5083887303824 29.6431920239358
23 3.08810921886245 21.970527311867
48 0 8.38213818213275
22 1.82857535780968 23.5584665772288
42 0 11.7727316278095
6 14.3216378365575 51.967706447698
28 3.89743424381438 8.89906567152282
14 10.3766911434354 26.2794569000475
22 5.71629830324744 28.7804766638611
25 2.65606748672481 22.2894223095654
37 1.41497280408735 12.8545946561173
45 0 8.02253480454734
31 0.659144316656879 16.9341319762945
6 17.2388857931074 39.0342882181819
26 1.09207014775747 3.99692954601204
41 4.85129435116433 22.033669561567
4 17.9730867389106 41.493933644322
5 17.1870788041494 40.2849951046821
15 6.05279988832591 16.0888005454375
23 2.82165827314648 22.2832545305235
31 0 24.6499909587147
20 4.68156217312093 24.747841864628
10 12.0711889127795 23.9505451852708
35 2.16886025395321 14.9868860676912
