undergrad visitTime
1 0.0666743073612452
2 0.405514120103276
3 0.12468489864421
4 0.00609052614308894
5 0.336450468732004
6 0.248871833259676
7 0.0749169897716184
8 0.0751794595109684
9 0.071675845510782
10 0.00839009401388466
11 0.314372540271449
12 0.117090756139462
13 0.0157290868461132
14 0.0254539466928691
15 0.0762679894402464
16 0.0100557912141085
17 0.0921780037264773
18 0.369282216371453
19 0.00810324475210342
20 0.263192250380728
21 0.246810051227424
22 0.0990037651690555
23 0.0057492769737781
24 0.0306986408604156
25 0.124953314989287
26 0.00905680030664313
27 0.0743608166421664
28 0.0509187215473503
29 0.044412774220109
30 0.042317433282733
31 0.0160198505502194
32 0.0870297253100302
33 0.0746102797756803
34 0.111126022382898
35 0.111799653149666
36 0.123766539308951
37 0.0297855605371296
38 0.0179707654751837
39 0.120585052385451
40 0.0997820136095298
41 0.128581802108122
42 0.165366361840608
43 0.0434654675295351
44 0.101308046742798
45 0.039448576699223
46 0.131628831646094
47 0.0478213749825954
48 0.0362935150507838
49 0.191032280764523
50 0.0113193780649453
51 0.159942212517795
52 0.36756251210109
53 0.124223089772732
54 0.135070589925618
55 0.101867157644511
56 0.0262313067447394
57 0.0567027875687927
58 0.00697171432330456
59 0.0287293619010597
60 0.0842224564361286
61 0.144888369383894
62 0.0368783386889845
63 0.0714420150067334
64 0.103064293596418
65 0.039007822284475
66 0.0340906481724232
67 0.0198961310033224
68 0.0448952120771504
69 0.100955327689265
70 0.0216500996146351
71 0.0039284439471993
72 0.131354703191192
73 0.0226739451754838
74 0.0396271670237184
75 0.0092015974689275
76 0.0259626104496419
77 8.99204518646002e-05
78 0.000695955247522739
79 0.0179874939743802
80 0.0141668299571624
81 0.282260471995064
82 0.0582466745749116
83 0.00481333145871759
84 0.0407807013503169
85 0.0149928328115493
86 0.135323821097137
87 0.0159716697213283
88 0.0119495730381459
89 0.0193490794770379
90 0.0334563354030252
91 0.096823353216214
92 0.100497625419238
93 0.20900110694392
94 0.210129884804103
95 0.00233003771863878
96 0.120638972927466
97 0.0493394156452268
98 0.0939658445358296
99 0.0174124617129564
100 0.134109143163533
