"","predictor","response"
"1",28.7577520124614,53
"2",78.8305135443807,59
"3",40.89769218117,55
"4",88.3017404004931,47
"5",94.0467284293845,50
"6",4.55564993899316,65
"7",52.8105488047004,59
"8",89.2419044394046,53
"9",55.1435014465824,49
"10",45.6614735303447,56
"11",95.6833345349878,56
"12",45.3334156190977,56
"13",67.7570635452867,48
"14",57.2633401956409,54
"15",10.2924682665616,57
"16",89.9824970401824,43
"17",24.608773435466,58
"18",4.20595335308462,79
"19",32.7920719282702,57
"20",95.4503649147227,66
"21",88.9539316063747,59
"22",69.28034061566,53
"23",64.0506813768297,56
"24",99.4269776623696,46
"25",65.5705799115822,46
"26",70.8530468167737,42
"27",54.4066024711356,46
"28",59.414202044718,59
"29",28.915973729454,67
"30",14.7113647311926,66
"31",96.3024232536554,46
"32",90.2299045119435,48
"33",69.0705278422683,49
"34",79.5467417687178,47
"35",2.46136845089495,87
"36",47.7795971091837,61
"37",75.8459537522867,43
"38",21.6407935833558,65
"39",31.8181007634848,60
"40",23.1625785352662,53
"41",14.2800022382289,57
"42",41.4546335814521,56
"43",41.3724326295778,67
"44",36.8845450924709,59
"45",15.2444747742265,70
"46",13.880606344901,61
"47",23.3034099452198,58
"48",46.5962450252846,50
"49",26.5972640365362,52
"50",85.7827715342864,43
"51",4.58311666734517,75
"52",44.2200074205175,56
"53",79.8924845643342,58
"54",12.189925997518,66
"55",56.0947983758524,58
"56",20.653138961643,56
"57",12.7531650243327,72
"58",75.3307864302769,41
"59",89.5045359153301,49
"60",37.4462775886059,59
"61",66.5115194628015,44
"62",9.48406609240919,72
"63",38.3969637798145,57
"64",27.438364457339,47
"65",81.4640038879588,45
"66",44.8516341391951,54
"67",81.0064353048801,43
"68",81.2389509519562,47
"69",79.4342321110889,50
"70",43.9831687603146,58
"71",75.4475158639252,46
"72",62.9221131559461,51
"73",71.0182401351631,32
"74",0.0624773325398564,145
"75",47.5316574098542,46
"76",22.0118885161355,64
"77",37.9816537722945,47
"78",61.2771003274247,58
"79",35.1797909243032,50
"80",11.1135424347594,80
"81",24.3619472719729,67
"82",66.805558744818,52
"83",41.7646779678762,55
"84",78.8195834029466,40
"85",10.2864644257352,67
"86",43.4892741497606,78
"87",98.4956979984418,50
"88",89.3051114398986,57
"89",88.6469060787931,57
"90",17.5052650272846,74
"91",13.0695691565052,64
"92",65.3101925039664,61
"93",34.3516472261399,44
"94",65.6758127966896,60
"95",32.0373242488131,70
"96",18.7691119266674,48
"97",78.2294301316142,62
"98",9.35949867125601,55
"99",46.677904156968,54
"100",51.1505459900945,50
"101",59.998895926401,47
"102",33.2823540316895,57
"103",48.8613033667207,32
"104",95.4473827499896,40
"105",48.29023971688,56
"106",89.0350222121924,53
"107",91.4438186911866,43
"108",60.8734982321039,55
"109",41.0689776530489,66
"110",14.7094690939412,64
"111",93.5299803270027,51
"112",30.1228899974376,60
"113",6.07205715496093,68
"114",94.7726940037683,52
"115",72.0596273429692,53
"116",14.2294295597821,68
"117",54.9284656066447,51
"118",95.409123855643,51
"119",58.5483353119344,61
"120",40.4510281747207,52
"121",64.789347932674,60
"122",31.9820617092773,42
"123",30.7720010867342,65
"124",21.9767631264403,61
"125",36.9488865835592,48
"126",98.4219203470275,44
"127",15.4202300822362,57
"128",9.10439998842776,73
"129",14.1906907781959,64
"130",69.0007101511583,58
"131",61.9256483390927,63
"132",89.1394117148593,65
"133",67.2999092610553,52
"134",73.7077737925574,35
"135",52.1135725779459,50
"136",65.983844967559,51
"137",82.1805460145697,55
"138",78.6281551700085,59
"139",97.9821917368099,46
"140",43.9431536244228,50
"141",31.170220207423,53
"142",40.9474952612072,57
"143",1.04671118315309,98
"144",18.384952400811,63
"145",84.2729318886995,44
"146",23.1161782052368,58
"147",23.9099955651909,63
"148",7.66911653336138,66
"149",24.5723678031936,61
"150",73.213520552963,49
"151",84.7453165100887,59
"152",49.7527267085388,48
"153",38.7909029843286,50
"154",24.6448994148523,58
"155",11.1096461303532,64
"156",38.9994435245171,59
"157",57.1935313986614,41
"158",21.6892762808129,54
"159",44.476800202392,50
"160",21.799066872336,73
"161",50.2299563260749,66
"162",35.3904571849853,67
"163",64.998515881598,45
"164",37.4713956611231,58
"165",35.5445380788296,62
"166",53.3687945455313,62
"167",74.0334360394627,50
"168",22.1102937823161,50
"169",41.274611861445,66
"170",26.5686686849222,67
"171",62.9973053466529,59
"172",18.3828490786254,59
"173",86.364411143586,59
"174",74.6568004135042,52
"175",66.8284649727866,54
"176",61.8017873261124,53
"177",37.2238060226664,61
"178",52.9835685854778,53
"179",87.4682342866436,46
"180",58.1750099780038,57
"181",83.9767764788121,52
"182",31.2448164913803,52
"183",70.829032221809,43
