"response","predictor"
8,4.83569082974106
11,5.05038463183587
8,6.21316040419693
9,5.24583045442597
2,5.28403702785462
5,6.31479224147413
10,5.49959553389298
16,4.37771019750575
9,4.75354564626921
10,4.91031971943503
16,5.99565316833565
9,5.43387898758729
19,5.46050144288613
7,5.27194376536433
13,4.83870326240985
6,6.361493538922
11,5.52360281084901
20,3.92169884819074
9,5.6558813360164
9,4.89268558497684
15,4.50591459110855
17,5.05831630547211
13,4.53309710860029
12,4.72622070096076
17,4.79372447589798
21,4.10364934801743
4,5.74456157892144
9,5.29969252659374
9,4.46021099094223
12,6.01497969869545
6,5.47720174395993
12,5.00820353605502
10,5.78183167967926
10,5.77078676689648
5,5.73402770306437
12,5.64761616516506
10,5.56004647479943
13,5.15975738812513
19,5.00112426856905
7,4.95269384934195
11,4.74844046370167
13,5.06485376928726
14,4.37749237148063
2,6.60982137747003
5,5.98517529889824
16,4.46997942091782
7,4.9381248570556
11,4.89667402014491
10,5.70697732691861
9,5.14581010679331
8,5.36465703409659
6,5.18144460902334
12,5.17213420276064
7,6.0895914846094
11,5.05324885932148
8,6.1857058928792
15,4.19331067725036
15,5.57999893726345
11,5.280505258499
7,5.34036201968358
7,5.44676566379392
16,4.87348975547895
13,4.98341520061488
11,4.53792600098039
11,4.50333570279087
11,5.39729361691277
12,5.49133635610913
15,5.23445274737483
6,5.79947385412183
4,6.53255504565764
15,4.88082974206325
26,3.69904023083347
7,5.85373004090047
18,4.73901950432144
11,4.75279439929622
5,5.86662139030285
12,5.01489754541684
14,4.40653348703455
15,5.31784726183695
12,5.10972061441462
9,5.20374672083493
6,5.45043226073212
7,4.95907097933493
10,5.61884475653724
13,5.05668373481781
16,5.4156582765452
9,5.91294535854708
6,5.48286796904197
10,4.9881444694047
7,5.94672495199321
11,5.84577750637538
7,5.55645802368025
9,5.35517562782244
19,4.79186105057441
8,6.08442409154451
14,4.80983126835437
14,6.62176644546077
3,6.19619690702037
19,5.04679476658469
13,4.53282641480059
12,4.73823573359545
9,5.36697441095174
14,5.03965027899946
10,4.97409731039147
7,4.58144793127774
12,5.1707319788742
12,4.6898120948529
9,4.11583774121771
9,4.95285276181295
6,5.7973477958895
13,4.82602447430455
12,5.59517680944627
20,4.14837623961204
11,5.16388472240905
6,5.53761468256325
13,5.39574968540836
12,5.26868952619681
5,4.78354109460151
8,4.64769217507817
12,4.53431628610681
7,5.27647028811508
9,4.58414150077988
12,4.88113766159457
9,5.03354007507114
3,6.39851030340093
21,4.77623256389795
7,5.35300127198516
8,5.25067455221641
17,4.57479318781542
10,5.15364974401966
6,6.13895805797518
9,5.49347763450149
15,5.22680139929541
19,4.92537705897924
17,3.86538930599867
15,5.93536918871921
16,4.25058395389887
7,5.68096588207027
5,6.44091731999136
17,4.26146944536833
4,5.65615981799356
18,5.0295716318884
21,4.17810629655543
22,4.21546602504186
10,4.15900148717651
11,4.8549107605893
16,4.24985886975267
9,5.64714590243429
3,6.56507081134169
16,4.36343019057713
6,5.71203025085887
12,5.69987745665059
7,5.41593167631758
13,4.54455520461994
8,5.12235580569007
12,5.01774303213934
9,5.56594319659331
15,4.95791480853251
9,5.83503270134565
13,4.95652244245144
8,5.88426245262657
15,4.51803494566706
13,4.38089909090723
4,7.30667595771256
13,4.92904256769572
12,5.39384793450146
5,5.613770288122
13,4.88554259328932
10,5.53596032880385
11,5.43982694280031
11,5.0600026700329
12,5.24244047179146
8,5.17785628507
5,6.58349373436052
13,4.71813153742266
11,4.48760242640147
12,5.2245624594612
6,5.40181248713804
15,5.48374026129162
17,4.90206253373778
15,4.50883801291873
11,6.02107036445817
16,4.97272724783019
8,4.63741663927531
10,5.04641828018829
13,5.07183566867344
6,5.92144818831387
12,5.25507923992818
4,5.69013496036994
23,4.87546018883803
12,5.33938945122804
9,4.98895415753096
8,5.26147929331282
15,4.6180138173146
20,4.34797900333682
4,6.49818870008618
9,5.59046073538707
14,4.38667361494379
17,4.80274215415773
27,4.42943794501175
8,6.62922672677442
5,6.05306843468178
13,5.02765571314737
3,5.55307613850086
9,4.93067903385274
21,4.89043951849987
13,4.68740815539734
17,4.81349877615132
8,6.27308985376885
8,5.16488171869446
